SA2_9DIG16,SA2_NAME16,SA2_9DIG21,SA2_NAME21
209041436, South Morang (South),209041436, South Morang - South
211011447, Ferntree Gully (North),211011447, Ferntree Gully - North
212031457, Narre Warren South (East),212031457, Narre Warren South - East
212031458, Narre Warren South (West),212031458, Narre Warren South - West
215011387, Ararat Region,215011387, Ararat Surrounds
215011389, Horsham Region,215011389, Horsham Surrounds
215021398, Mildura Region,215021398, Mildura Surrounds
215031405, Swan Hill Region,215031405, Swan Hill Surrounds
216031418, Shepparton Region - East,216031418, Shepparton Surrounds - East
216031419, Shepparton Region - West,216031419, Shepparton Surrounds - West
217031473, Colac Region,217031473, Colac Surrounds
307011177, Roma Region,307011177, Roma Surrounds
307031188, Stanthorpe Region,307031188, Stanthorpe Surrounds
308031218, Rockhampton Region - East,308031218, Rockhampton Surrounds - East
308031219, Rockhampton Region - North,308031219, Rockhampton Surrounds - North
308031220, Rockhampton Region - West,308031220, Rockhampton Surrounds - West
311061330, Kingston (Qld.),311061330, Kingston (Qld)
318011465, Ingham Region,318011465, Ingham Surrounds
318021468, Annandale,318021468, Annandale (Qld)
319011498, Bundaberg Region - North,319011498, Bundaberg Surrounds - North
319011499, Bundaberg Region - South,319011499, Bundaberg Surrounds - South
319021506, Kingaroy Region - North,319021506, Kingaroy Surrounds - North
319021507, Kingaroy Region - South,319021507, Kingaroy Surrounds - South
319031514, Gympie Region,319031514, Gympie Surrounds
319051525, Maryborough Region - South,319051525, Maryborough Surrounds - South
401021008, Mount Barker Region,401021008, Mount Barker Surrounds
401031012, Glenside - Beaumont,401031012, Beaumont - Glen Osmond
405031123, Port Pirie Region,405031123, Port Pirie Surrounds
407011147, Strathalbyn Region,407011147, Strathalbyn Surrounds
407021155, Naracoorte Region,407021155, Naracoorte Surrounds
407031163, Loxton Region,407031163, Loxton Surrounds
407031166, Murray Bridge Region,407031166, Murray Bridge Surrounds
407031168, Renmark Region,407031168, Renmark Surrounds
501011003, Busselton Region,501011003, Busselton Surrounds
507031169, Bertram - Wellard (West),507031169, Wellard (West) - Bertram
509011226, Albany Region,509011226, Albany Surrounds
511011275, Esperance Region,511011275, Esperance Surrounds
604011076, Burnie - Ulverstone Region,604011076, Burnie - Ulverstone Surrounds
